Outlets Name,Latitude,Longitude,Company,City,links,State,state_district,county,postcode,suburb,Distance
Sai maruthi medical,17.49779912,78.59466038,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49779912,78.59466038",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,0
Durga kirana general Store,17.49781445,78.59474238,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49781445,78.59474238",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,0.008342067
Balaji kirana general,17.49783034,78.59477258,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49783034,78.59477258",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,0.011646256
Balaji kirana general,17.49726194,78.59484205,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49726194,78.59484205",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,0.05670682
Om Sairam kirana general,17.4972558,78.5941295,Naturo,Hydrabad,"https://www.google.com/maps/search/17.4972558,78.5941295",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,0.075962504
Upaar Bakery,17.49860308,78.59379917,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49860308,78.59379917",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,0.117814869
Gayathri provision store,17.49900276,78.59566527,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49900276,78.59566527",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,0.156797741
Gayathri provision store,17.49886275,78.59581439,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49886275,78.59581439",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,0.156941003
Sri Sai kirana general,17.49983542,78.59488349,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49983542,78.59488349",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,0.204848621
Jagadamba kirana general,17.500322,78.5953986,Naturo,Hydrabad,"https://www.google.com/maps/search/17.500322,78.5953986",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,0.262866739
Dhanalaxmi,17.49562845,78.59615212,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49562845,78.59615212",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,0.263383684
